"","x"
"225",1
"226",1
"227",1
"228",1
"229",0
"230",0
"231",1
"232",0
"233",1
"234",1
"235",1
"236",1
"237",0
"238",0
"239",0
"240",1
"241",1
"242",0
"243",0
"244",0
"245",1
"246",0
"247",1
"248",0
"249",0
"250",1
"251",1
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",1
"263",0
"264",1
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",1
"276",0
"277",0
"278",1
"279",1
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",1
"290",0
"291",1
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",1
"299",1
"300",0
"301",0
"302",1
"303",0
"304",1
"305",1
"306",0
"307",0
"308",1
"309",1
"310",0
"311",0
"312",0
"313",0
"314",1
"315",0
"316",0
"317",0
"318",1
"319",0
"320",1
"321",0
"322",0
"323",1
"324",1
"325",0
"326",1
"327",1
"328",0
"329",1
"330",1
"331",0
"332",1
"333",1
"334",1
"335",0
"336",1
"337",0
"338",0
"339",0
"340",0
"341",1
"342",1
"343",1
"344",1
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",1
"364",1
"365",1
"366",1
"367",1
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",1
"418",1
"419",1
"420",1
"421",1
"422",1
"423",1
"424",1
"425",1
"426",1
"427",1
"428",1
"429",1
"430",1
"431",1
"432",1
"433",1
"434",1
"435",1
"436",1
"437",0
"438",0
"439",0
"440",0
"441",0
"442",0
"443",0
"444",1
"445",1
"446",1
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",1
"479",1
"480",1
"481",1
"482",1
"483",1
"484",1
"485",0
"486",1
"487",1
"488",1
"489",1
"490",1
"491",1
"492",1
"493",1
"494",1
"495",1
"496",1
"497",1
"498",1
"499",1
"500",1
"501",0
"502",0
"503",0
"504",1
"505",1
"506",1
"507",1
"508",1
"509",1
"510",1
"511",1
"512",1
"513",1
"514",1
"515",1
"516",1
"517",1
"518",1
"519",1
"520",1
"521",1
"522",1
"523",1
"524",1
"525",1
"526",1
"527",1
"528",1
"529",1
"530",1
"531",1
"532",1
"533",1
"534",1
"535",1
"536",1
"537",1
"538",1
"539",1
"540",1
"541",1
"542",1
"543",1
"544",1
"545",1
"546",1
"547",1
"548",1
"549",1
"550",1
"551",1
"552",1
"553",1
"554",1
"555",1
"556",1
"557",1
"558",1
"559",1
"560",1
"561",1
"562",1
"563",1
"564",1
"565",1
"566",1
"567",0
"568",0
"569",0
"570",0
"571",0
"572",0
"573",0
"574",0
"575",0
"576",0
"577",0
"578",0
"579",0
"580",1
"581",1
"582",0
"583",1
"584",0
"585",1
"586",0
"587",0
"588",0
"589",1
"590",0
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0
"599",1
"600",0
"601",0
"602",1
"603",0
"604",0
"605",1
"606",0
"607",1
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",1
"617",1
"618",0
"619",0
"620",0
"621",1
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",1
"632",0
"633",1
"634",0
"635",0
"636",0
"637",0
"638",0
"639",0
"640",1
"641",1
"642",1
"643",0
"644",1
"645",0
"646",0
"647",0
"648",0
"649",0
"650",0
"651",0
"652",0
"653",0
"654",0
"655",0
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",0
"664",0
"665",0
"666",0
"667",0
"668",0
"669",0
"670",0
"671",1
"672",0
"673",0
"674",0
"675",1
"676",0
"677",1
"678",0
"679",0
"680",0
"681",0
"682",0
"683",0
"684",0
"685",0
"686",0
"687",0
"688",0
"689",1
"690",0
"691",0
"692",0
"693",0
"694",0
"695",0
"696",0
"697",0
"698",0
"699",0
"700",0
"701",0
"702",0
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0
"709",0
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",0
"728",0
"729",0
"730",0
"731",0
"732",0
"733",0
"734",1
"735",1
"736",1
"737",1
"738",1
"739",1
"740",1
"741",0
"742",0
"743",0
"744",0
"745",1
"746",1
"747",1
"748",1
"749",1
"750",1
"751",1
"752",1
"753",1
"754",1
"755",1
"756",1
"757",1
"758",1
"759",1
"760",0
"761",0
"762",0
"763",0
"764",0
"765",0
"766",0
"767",0
"768",0
"769",1
"770",1
"771",1
"772",1
"773",1
"774",1
"775",1
"776",1
"777",1
"778",1
"779",1
"780",1
"781",0
"782",0
"783",0
"784",0
"785",0
"786",0
"787",0
"788",0
"789",0
"790",0
"791",0
"792",0
"793",0
"794",1
"795",1
"796",1
"797",1
"798",0
"799",1
"800",0
"801",1
"802",0
"803",0
"804",1
"805",0
"806",1
"807",0
"808",0
"809",0
"810",1
"811",1
"812",1
"813",0
"814",1
"815",0
"816",1
"817",0
"818",1
"819",1
"820",0
"821",1
"822",1
"823",0
"824",0
"825",0
"826",0
"827",0
"828",0
"829",0
"830",0
"831",1
"832",0
"833",0
"834",0
"835",0
"836",0
"837",0
"838",0
"839",0
"840",0
"841",0
"842",1
"843",1
"844",0
"845",1
"846",0
"847",1
"848",0
"849",1
"850",1
"851",0
"852",1
"853",0
"854",0
"855",0
"856",1
"857",1
"858",0
"859",1
"860",1
"861",0
"862",0
"863",0
"864",0
"865",0
"866",1
"867",0
"868",0
"869",1
"870",0
"871",0
"872",0
"873",1
"874",0
"875",0
"876",1
"877",0
"878",0
"879",0
"880",0
"881",0
"882",1
"883",0
"884",0
"885",1
"886",1
"887",0
"888",0
"889",0
"890",0
"891",0
"892",1
"893",1
"894",1
"895",0
"896",0
"897",1
"898",0
"899",0
"900",1
"901",1
"902",0
"903",0
"904",1
"905",1
"906",0
"907",1
"908",1
"909",0
"910",0
"911",1
"912",1
"913",1
"914",1
"915",1
"916",1
"917",1
"918",1
"919",1
"920",0
"921",0
"922",0
"923",0
"924",0
"925",1
"926",0
"927",1
"928",1
"929",0
"930",0
"931",0
"932",0
"933",0
"934",0
"935",0
"936",0
"937",0
"938",0
"939",0
"940",0
"941",0
"942",0
"943",1
"944",0
"945",0
"946",0
"947",0
"948",1
"949",0
"950",0
"951",0
"952",0
"953",1
"954",0
"955",1
"956",1
"957",0
"958",1
"959",0
"960",0
"961",0
"962",0
"963",0
"964",0
"965",0
"966",1
"967",0
"968",1
"969",0
"970",0
"971",0
"972",0
"973",1
"974",1
"975",1
"976",0
"977",0
"978",1
"979",0
"980",1
"981",1
"982",0
"983",1
"984",1
"985",1
"986",0
"987",0
"988",0
"989",1
"990",0
"991",0
"992",0
"993",1
"994",0
"995",0
"996",0
"997",0
"998",0
"999",0
"1000",0
"1001",1
"1002",0
"1003",1
"1004",0
"1005",0
"1006",0
"1007",0
"1008",1
"1009",0
"1010",0
"1011",0
"1012",1
"1013",0
"1014",0
"1015",0
"1016",0
"1017",0
"1018",1
"1019",0
"1020",0
"1021",0
"1022",0
"1023",1
"1024",0
"1025",0
"1026",1
"1027",0
"1028",0
"1029",1
"1030",0
"1031",0
"1032",0
"1033",0
"1034",0
"1035",0
"1036",1
"1037",0
"1038",0
"1039",0
"1040",1
"1041",0
"1042",0
"1043",1
"1044",0
"1045",1
"1046",0
"1047",0
"1048",0
"1049",0
"1050",0
"1051",0
"1052",0
"1053",1
"1054",0
"1055",0
"1056",0
"1057",0
"1058",0
"1059",0
"1060",0
"1061",0
"1062",0
"1063",0
"1064",0
"1065",0
"1066",0
"1067",0
"1068",0
"1069",0
"1070",0
"1071",0
"1072",0
"1073",0
"1074",0
"1075",0
"1076",1
"1077",1
"1078",1
"1079",1
"1080",1
"1081",0
"1082",0
"1083",0
"1084",0
"1085",1
"1086",1
"1087",1
"1088",1
"1089",1
"1090",1
"1091",1
"1092",0
"1093",0
"1094",0
"1095",0
"1096",0
"1097",0
"1098",0
"1099",0
"1100",0
"1101",0
"1102",0
"1103",0
"1104",0
"1105",0
"1106",0
"1107",0
"1108",0
"1109",0
"1110",0
"1111",0
"1112",0
"1113",0
"1114",0
"1115",0
"1116",0
"1117",0
"1118",0
"1119",0
"1120",0
"1121",0
"1122",1
"1123",0
"1124",0
"1125",1
"1126",1
"1127",1
"1128",1
"1129",1
"1130",1
"1131",0
"1132",1
"1133",0
"1134",1
"1135",0
"1136",1
"1137",1
"1138",1
"1139",1
"1140",1
"1141",0
"1142",1
"1143",1
"1144",0
"1145",1
"1146",1
"1147",1
"1148",1
"1149",1
"1150",1
"1151",1
"1152",0
"1153",0
"1154",0
"1155",0
"1156",1
"1157",0
"1158",0
"1159",1
"1160",1
"1161",0
"1162",0
"1163",0
"1164",1
"1165",1
"1166",0
"1167",0
"1168",0
"1169",0
"1170",0
"1171",0
"1172",0
"1173",1
"1174",1
"1175",0
"1176",0
"1177",1
"1178",0
"1179",0
"1180",1
"1181",0
"1182",0
"1183",0
"1184",1
"1185",0
"1186",0
"1187",1
"1188",0
"1189",0
"1190",0
"1191",0
"1192",0
"1193",1
"1194",0
"1195",0
"1196",0
"1197",1
"1198",1
"1199",1
"1200",1
"1201",1
"1202",1
"1203",1
"1204",0
"1205",1
"1206",1
"1207",1
"1208",1
"1209",1
"1210",1
"1211",1
"1212",1
"1213",1
"1214",1
"1215",1
"1216",1
"1217",1
"1218",1
"1219",0
"1220",0
"1221",0
"1222",0
"1223",0
"1224",1
"1225",0
"1226",1
"1227",1
"1228",0
"1229",0
"1230",1
"1231",1
"1232",1
"1233",0
"1234",0
"1235",0
"1236",1
"1237",1
"1238",1
"1239",1
"1240",0
"1241",0
"1242",0
"1243",0
"1244",0
"1245",0
"1246",0
"1247",1
"1248",0
"1249",0
"1250",0
"1251",0
"1252",1
"1253",1
"1254",0
"1255",0
"1256",1
"1257",0
"1258",0
"1259",0
"1260",0
"1261",1
"1262",0
"1263",0
"1264",0
"1265",1
"1266",0
"1267",0
"1268",0
"1269",1
"1270",1
"1271",1
"1272",0
"1273",1
"1274",0
"1275",0
"1276",1
"1277",0
"1278",0
"1279",0
"1280",0
"1281",0
"1282",0
"1283",0
"1284",0
"1285",0
"1286",1
"1287",1
"1288",0
"1289",0
"1290",0
"1291",1
"1292",0
"1293",1
"1294",1
"1295",0
"1296",0
"1297",0
"1298",0
"1299",0
"1300",0
"1301",0
"1302",0
"1303",0
"1304",0
"1305",0
"1306",0
"1307",1
"1308",1
"1309",1
"1310",0
"1311",0
"1312",1
"1313",1
"1314",1
"1315",1
"1316",0
"1317",1
"1318",0
"1319",1
"1320",0
"1321",0
"1322",1
"1323",1
"1324",0
"1325",0
"1326",0
"1327",1
"1328",0
"1329",0
"1330",1
"1331",0
"1332",1
"1333",1
"1334",0
"1335",1
"1336",0
"1337",1
"1338",0
"1339",1
"1340",0
"1341",0
"1342",1
"1343",1
"1344",1
"1345",0
"1346",0
"1347",0
"1348",0
"1349",0
"1350",1
"1351",1
"1352",0
"1353",1
"1354",1
"1355",1
"1356",0
"1357",1
"1358",0
"1359",0
"1360",1
"1361",0
"1362",0
"1363",0
"1364",0
"1365",0
"1366",1
"1367",0
"1368",0
"1369",1
"1370",0
"1371",1
"1372",0
"1373",0
"1374",0
"1375",0
"1376",0
"1377",1
"1378",0
"1379",1
"1380",1
"1381",0
"1382",1
"1383",1
"1384",0
"1385",1
"1386",1
"1387",0
"1388",1
"1389",0
"1390",1
"1391",0
"1392",0
"1393",1
"1394",0
"1395",1
"1396",1
"1397",0
"1398",0
"1399",0
"1400",0
"1401",1
"1402",0
"1403",1
"1404",1
"1405",1
"1406",1
"1407",0
"1408",0
"1409",0
"1410",1
"1411",1
"1412",0
"1413",0
"1414",0
"1415",1
"1416",1
"1417",0
"1418",1
"1419",1
"1420",0
"1421",1
"1422",1
"1423",1
"1424",0
"1425",0
"1426",0
"1427",0
"1428",0
"1429",0
"1430",0
"1431",0
